,title,day,genre,story,platform
37,사업왕 심길후,화,드라마만화,열정만으로 사업을 시작한 청년 심길후의 39 찐 39 사업왕이 되기 위한 좌충우돌 고분군투 성장 스토리. 과연 꿈을 이룰 수 있을 것인가?!,카카오페이지
38,미운 노새 이야기,화,로판만화,"34 이게 그 여자의 딸이라고? 34 고귀한 아델하이트 여왕의 사생아로서 젖 떼기도 전에 버림받고 천덕꾸러기 신세로 방치되어 자랐던 소녀 타라는 어느날 얼굴 한번 본 적 없는 악명 높은 서부의 대마법사 쥬다에게 보내진다. 타라의 후견인이라는 그의 비인간적으로 차가운 아름다움에 그녀는 압도되고, 그와 성의 식구들은 여왕을 혐오하며 조그만 계집아이를 꺼림칙하게 여긴다. 허나, 소녀의 순수하고 애처로운 사랑스러움은 냉랭한 불사의 마도사의 심장마저 녹여버리는데 34 애교 부리지 마. 여우 같으니라고. 34 34 왜 자꾸 나한테 여우라고 해요? 34 34 그 애가 설사 파멸이라해도 상관없어. 나에게 삶과 파멸은 매한가지니까. 34 오직 한 소녀에게만 다정한 집착 냉혈 39 후견인 39 과 상처 많은 조그만 39 아가씨 39 의 힐링 로맨스 판타지.",카카오페이지
39,마도사의 탑,화,소년만화,"진정한 마법과 진리가 사라지고 마도문명만이 발달한 시대. 마법 실험 폭주로 천 년의 시간을 뛰어넘어 깨어난 대마법사 라임드. 나는 라 라임드 호르데 모르페우스. 꿈의 주인이라고 불리었던 대마도사이며, 마도의 극의를 쫓는 자이다. 마지막 꿈의 주인이자 대마도사인 그의 최우선 과제는 대마도사의 탑 재건! 하는 김에 예쁜 소년 백작도 좀 구해 주고, 귀여운 묘인족 제자도 좀 들이고 . 마도의 극의를 향한 그의 탐구가 시작된다.",카카오페이지
40,보스몹은 죽을수록 강해진다,"화, 목, 토, 일",소년만화,"사고로 의식 불명 상태가 된 소년, 하늘. 그를 살릴 유일한 방법은 세이버 온라인 플레이를 통한 뇌파 자극 뿐. 그러나 하늘은 데이터 오류로 플레이어가 아닌 몬스터로 빙의되고 마는데 .7 멧돼지 ? 장난해?! 자꾸만 플레이어의 손에 죽는 하찮은 몬스터가 된 하늘을 가엾게 여긴 게임 마스터는 그에게 보상을 하사한다. 34 네게 필드 보스 몬스터가 될 기회를 주지. 34 죽을 수록 강해져서 돌아오는 몬스터가 되어버린 그의 운명은?!",카카오페이지
41,적소신검,"화, 목, 일",액션무협만화,"사부님의 명령에 따라 소씨 가문의 데릴사위가 된 현무, 하지만 무인의 기가 전혀 느끼지지 않아 폐물이라고 무시당하기 일수지만 딱히 신경 쓰지 않는다. 애초부터 사랑 없는 혼인이기에 약속한 3년만 채우고 사라질 예정이다. 그러나 조용히 지내고 싶은 현무와는 달리 자꾸만 심기를 건드리는 사람들, 현무의 실력과 정체가 드러날수록 놀라움을 금치 못하는데 그는 과연 적소신검의 단서를 찾고 10대 신검까지 모을 수 있을까",카카오페이지
42,영존지자,"화, 토",소년만화,"무료한 고교 생활을 보내고 있는 평범한 고등학생 남강우는 갑작스런 교통사고를 당해 이세계로 환생한다. 소설과 게임 속의 강해지기만 하면 부와 명예를 얻을 수 있는 주인공을 동경하던 그가 환생한 세상은 바로 그가 원하던 무림 세계였다. 게다가 알고 보니 부모님은 이 세상에서 최강자로 통하는 영존이었던 것. 하지만 한 가지 변함 없는 사실이 있었는데, 그것은 이 세상에서도 전생과 마찬가지로 학교에 가야 한다는 것이었다. 주인공 버프를 풀로 때려맞은 남강우의 학교생활은 39 아싸 39 였던 전생과는 180도 달라졌는데...",카카오페이지
43,폭군이 내 새끼가 되었습니다,"화, 토",로판만화,"천 년 전 황후 한이말로 환생한 한예인, 불우했던 그녀의 삶을 안타깝게 여긴 신이 자비를 내려준 것이라 생각했는데 34 한이말, 네가 도망칠 곳은 없어. 어서 죽어줘야겠어! 34 그녀는 믿었던 황제에게 배신당한 걸로 모자라 피도 눈물도 없는 폭군, 강지결의 손에 죽음을 맞이하게 된다. 그런데... 눈을 뜨니 이곳은 냉궁, 게다가 이번엔 어린아이가 되어버렸잖아?! 거울 속으로 보이는 앳된 얼굴과 작은 손에 당황하기도 잠시, 주린 배를 채우려 궁 곳곳을 쏘다니던 그녀의 앞에 나타난 귀여운 꼬마. 어라...? 잠깐만, 강지결이 왜 여기에 있어!? 34 누나, 나 버리지 마요... 네? 34 한이말은 귀요미가 되어버린 지결을 다정남으로 잘 키워낼 수 있을까?",카카오페이지
44,이 남자 이 여자의 연애방식,화,로맨스만화,"39 이 세상에서 제일 무서운 것 그건 바로 여자! 39 가진 것 없이 진 빚만 1,700만원이라 별 수 없이 알바를 뛰는 여대생 주예승. 보이쉬한 외모 때문에 남자로 오해 받는게 일상이다. 그런데, 그런 그녀에게 영문모를 손님이 갑자기 키스를?! 아무리 사정이 있다지만 갑자기 첫키스를 빼앗다니 용서못해! 범상치 않은 이 남자 서우현과 보이쉬한 매력의 주예승의 환상 케미 로맨스!",카카오페이지
45,"독점계약입니다만,",화,BL/GL만화,고급 호텔 화장실에서 우연히 만나게 된 사회부 기자 황인찬과 유명 소설가 기태범. 위험하다. 본능적으로 위험을 감지한 인찬은 그를 피하고 싶지만 웬일인지 이 소설가는 자꾸만 인찬을 끌어당기는데 도망치려 해도 절대 벗어날 수 없는 기태범과의 계약의 굴레! 황인찬의 인생은 앞으로 어떻게 되는 걸까? 세련된 그림체와 매력적인 캐릭터로 독자를 사로잡을 2017년 카카오페이지 멘토링 만화제작지원공모전 당선작!,카카오페이지
46,G 혼자만 레벨업,화,소년만화,"숱한 연애 게임 플레이 경험이 있음에도 불구하고 유소영은 모태 솔로 20년 차라는 기록을 세우게 된다. 게임 속 연애 스킬을 십분 활용해 좋아하는 남자에게 고백해보지만 어쩐지 오프라인에서는 전혀 도움 되지 않는 듯하다. 유소영은 고백에 대한 대답도 듣지 못하고 감전사로 인해 이 세계로 떨어진다. 다른 사람들의 눈에는 보이지 않는 화면과 들리지 않는 음성까지, 유소영은 본능적으로 이곳이 평범한 이 세계가 아님을 알아차린다. 이 세계 플레이어로 변신한 유소영, 과연 이번 게임의 결말은?",카카오페이지
