,id,title,author,day,genre,story,serial,platform
44,44,배달부들,우주,수,드라마,"차라리 죽었으면 싶던 날이었다. 시간도 없고, 돈도 없고, 없는 것 투성이인 인생, 아버지는 혁이 어렵게 모은 돈과 함께 사라졌다. 집안에 남아있던 유일한 단서는 코드뿐... 혁은 매일 밤, 사라지기 전 아버지가 함께 있던 여자와 또다른 코드를 찾아 헤맨다.",O,레진코믹스
45,45,Teach Me!,뉴라,수,BL,삼수생 재홍은 층수를 착각해 잘못 찾아온 윗집 명문대생 은성을 새로운 과외선생님으로 알고 수업을 받는다. 은성이 장난친 것을 알게 되었지만 자기와 생각보다 잘 맞았던 은성에게 재홍은 진지하게 자신을 가르쳐줄 것을 권유하게 된다. ...저기 과외 해보실래요? 제4회 세계만화공모전 우수상 수상작!,O,레진코믹스
46,46,"오늘, 그 녀석（♂）에게 심쿵한 날",레진코믹스,수,BL,"풋풋해서 두근거림이 멈추질 않아! 13인의 호화 작가진이 선사하는 고귀하고 심쿵한 라이트 앤솔로지! 친한친구인 녀석, 소꿉친구인 녀석, 마음에 안드는 녀석, 오늘 처음 만난 녀석이지만 왠지 얼굴을 보면 심쿵해버려! 이 기분은 혹시... 사랑!?",O,레진코믹스
47,47,머쉬룸 스프,부발,수,판타지,"18살 생일, 이상한 꿈과 함께 잠에서 깨어난 아리는 시골 마을로 전학을 가게 된다. 이번 생일 선물은 특별하다며 그녀를 거대한 나무 앞으로 데려간 부모님이 나무에 노크를 두 번 하자 아리는 땅속으로 끊임없이 떨어지게 되는데?! 매력넘치는 버섯족 친구들의 이야기가 시작된다! 제4회 세계만화공모전 우수상 수상작!",O,레진코믹스
48,48,킹스메이커,"강지영, 하가",수,BL,"황제의 소유물에는 손 끝 하나 닿고 싶지 않아! 아버지에게 복수심을 품고 그의 모든 것을 증오하는 4황자 볼프강, 현실을 벗어날 수 있을 힘과 황제의 몰락을 원하는 신수혁. 다른 생각을 가지고 같은 꿈을 꾸는 두 사람 ! , ! 강지영, 공주는 잠 못 이루고 하가 작가가 선보이는 초대형 판타지!",O,레진코믹스
49,49,국제결혼 절대로 하지 마라,쑤,수,일상,미국에도 동양인 많이 살고 좋은 곳도 많은데...나는 왜 이런 곳으로 와버린걸까? 이럴 거면 국제 결혼 하지 말 걸 그랬어! 남친에서 남편이 된 롯과 함께 미국으로 향한 쑤. 뉴욕과 캘리포니아만 알던 쑤 의 미국 생활기가 지금 시작됩니다.,O,레진코믹스
50,50,주인의 사정[개정판],"WAJE, 찐밤",수,BL,"해당 작품은 주인의 사정 성인 버전의 일부 장면을 수정한 개정판입니다. 평범하게 살아온 나, 임주인. 평생 그렇게 평범할 줄 알았는데 갑자기 고야휘라는 성격 나빠 보이는 선배가 나더러 방충망 역할을 하란다. 뭐야? 근데 거절을 못 하겠네. 혹시 나 얼빠였나? 그게 끝인 줄 알았는데, 웬 미친놈이 나한테 주인님이라고 엉겨 붙는다. 근데 얘도 잘 생겼네 하, 나 정말 괜찮은 걸까?",O,레진코믹스
51,51,세상에 없는 이웃,1230,수,판타지,"구원하소서 , 방황하는 신 으로 밀도 높은 비주얼과 독특한 시나리오로 독자를 매료시킨 1230 작가의 신작!! 꿈을 쫓는 섬, 노량진. 그리고 허름한 고시원들 사이에 우두커니 서 있는 교회. 어떤 연유로 망한 교회 안에 언제부턴가 사람들에게 피를 사는, 이름도 나이도 모르는 두 남자가 살기 시작했다. 사람을 흉내내며 사람이 되고 싶은 꿈을 버리지 못한 동생과 그런 동생을 이해 못하는 형은 영겁의 시간이 무색할 만큼 사사건건 부딪친다. 어느 날, 그런 둘에게 신세를 봐달라며, 가정부를 자처한 한 소녀가 교회로 들어왔다.",O,레진코믹스
52,52,비 갠 뒤 우리들을 따라,라쿠타 쇼코,수,BL,상처 받는 것이 두려워 관계 맺기를 거부하며 철저히 솔로 라이프를 영위하는 카나데. 어느 날 우연히 학창시절 짝사랑 상대였던 마시로와 재회하게 되고 카나데는 크게 흔들린다. 마시로의 적극적인 관심에도 카나데는 어째선지 좀처럼 마음을 열지 못하는데... 라쿠타 쇼코 작가의 물빛 감성 신작!!,O,레진코믹스
53,53,바리데기 발자국,김보통,수,판타지,도깨비들이 훔쳐간 북두칠성을 찾기 위해 바리데기는 요괴 조마구와 여행을 떠난다. 바리데기는 전국 곳곳의 문화 유적지에서 마주친 요괴와 사람들을 도우며 별들과 소중한 삶의 가치를 되찾는다.,O,레진코믹스
