,title,day,genre,story,platform
20,진홍의 카르마,금,로판만화,"암살자로 키워진 군인 카시야 델 로만. 인간으로서의 감정을 잃고 도구로서 살아온 삶의 마지막은 결국 버려지는 것이었다. 하지만 죽음의 안식마저 얻지 못하고 다시 눈을 떠보니 이세계의 전쟁터. 다시 돌아가라. 누구의 목소리인지 알 수 없는 음성이 울려 퍼졌다. 두려우면서도 그립고 애틋한 목소리였다. 방금까지 느껴지던 따스한 온기와 밝은 빛이 사라졌다. 그리고 벗어났다고 생각했던 육신의 느낌이 다시 서서히 온몸에 휘감겨 들어왔다. 그러자 퍼뜩 정신이 들었다. 또 다시 수라와 같은 삶을 살고 싶지 않았다. 그런데 이세계는 카시야가 살던 곳과는 조금 아니 많이 달랐다. 자신이 다칠까 걱정하는 사람들, 죽었을까 눈물짓는 사람들. 이게 뭐라고 걱정하고 우는 거지? 내가 그렇게 가치 있는 사람인가? 더 이상 도구가 아닌 사람으로서 살기 시작한 카시야. 황제의 자리를 놓고 싸우는 사람들 사이에서 카시야는 감정을 스스로 깨달으며, 공을 세우기 시작하는데...피의 업보는 그녀를 어디로 인도하는 것일까?",카카오페이지
21,백작가의 망나니가 되었다,금,드라마만화,"눈을 떠보니 소설 속이었다. 그것도 망나니로 유명한 백작가의 도련님 몸으로 . 그리고, 소설 속에서 나를 박살 냈던 막강한 주인공 최한이 곧 여기로 온다.",카카오페이지
22,위대한 소원,금,로판만화,"제국의 유일한 황녀 시에나 아르젠트 그녀는 태어나면서부터 모든 것을 가졌다. 영민한 두뇌, 극상의 미모, 우월한 재능. 장차 황제의 관을 쓸 후계자의 지위까지. 스무 살의 생일을 앞둔 어느 날. 그녀는 꿈을 꾸기 시작하며 수십 년 후 자신의 미래를 보게 되는데. 그녀는 신의 축복으로 예지 능력을 갖게 되었다고 기뻐하며 신께 감사한다. 하지만 꿈에서 보는 자신의 미래는 갈수록 이상하다. 시에나가 막연히 그렸던 미래는 이런 것이 아니었다. 반쪽 핏줄이라고 경멸했던 이복 오라버니의 반격. 자신의 절대적 아군으로 믿었던 어머니의 숨겨진 모습. 그리고 현실과 미래, 양쪽에서 시에나에게 막강한 영향을 미치는 남자의 등장. 그녀 주변의 모든 것이 급격히 달라지기 시작하고 그녀 또한 변화한다.",카카오페이지
23,백련성신,"월, 수, 금",액션무협만화,"백만 번의 단련을 통해 신의 경지에 오르다! 집안의 몰락으로 하루아침에 노비가 된 나정이는 매일같이 비참한 나날들을 보낸다. 설상가상, 그의 여동생마저 옥에 갇히자 더욱 절망에 빠지는데 그러던 중, 그는 아버지가 자신에게 유물로 남겨준 오래된 서책에서 거대한 힘을 흡수하여 병기가 돼 버리고, 인간과 요족 그리고 마족의 공법을 익히며 악당들과 끊임없이 싸워 나가 운명을 개척하게 된다. 과연, 이 거대하고 신비로운 힘의 정체는 무엇일까? 그리고 그는 과연 여동생을 구할 수 있을 것인가?",카카오페이지
24,뮈엘라의 수사관,금,로판만화,"마법사와 마녀를 배척하는 나라. 뮈엘라. 뮈엘라의 시골 영지 알라나데일의 저택에서 하녀로 일하는 케이트. 어느 날, 그녀가 일하는 데일 남작가에 수상한 하인이 들어온다. 하인에 어울리지 않는 훤칠한 키에 단정한 외모를 가진 그는 첫날부터 주목을 받지만, 케이트는 사사건건 자신과 부딪치는 이안이 마음에 들지 않는다. 한편 그녀가 몸담은 데일 남작가에 불길한 사건들이 하나둘 일어나기 시작하는데 .",카카오페이지
25,황녀님이 사악하셔,금,로판만화,"나는 삼백 살이 넘는 마녀이지만, 믿었던 인간에게 배신당해 죽었다. 꼼짝없이 영혼계에 붙잡혀 있을 줄 알았는데 서로가 서로를 죽이는 황실에 황녀로 환생했다. 이렇게 된 이상 내가 황제가 돼야겠다. 너. 내 부하가 대라. 이렇게 했으니까 모두 나를 두려워하겠지, 생각했는데. 한 번만 만져주면 안 돼? 네가 머리를 쓰다듬어줬다고 하면 모두가 부러워할 거야. 뭐야. 왜 이래. 더 해 줘. 귀여우니까. 하지만 단체로 미쳤나, 싶을 정도로 내게 맹목적인 애정을 보이고 있다. 나 황제 될 수 있겠지?",카카오페이지
26,악역에게 청혼받았습니다,금,로판만화,"악역의 살인 현장을 목격해 버렸다. 심지어 들켰다. 내 인생 종 치는 소리가 여기까지 들리는 것 같다. 그러나 그가 내게 건넨 것은 34 나와 결혼해 줘요. 34 반지였다. 그것도 알이 몹시 큰. 이게 무슨 일이야?! 34 영애도 죽는 것보단 이게 나을 텐데요, 결혼합시다, 우리. 34 소설 속 악역 최종보스 남주와의 서늘한 결혼생활이 시작됩니다! 타이틀 로고 디자인 디자인그룹 헌드레드",카카오페이지
27,황녀의 생존법칙,"수, 금, 일",로판만화,"신선들이 사는 선경 . 모든 수선자들이 수련에 매진할 때, 홀로 인간을 위해 악당과 싸우는 정의의 수선자 능소파 선녀 청아. 신선이 되는 것보다 사랑을 선택한 그녀는 자신이 그토록 사랑했던 사부와 결혼을 하는 꿈을 이루게 되었는데... 하지만 혼인을 올린 뒤, 곧바로 남편에게 금단 을 빼앗기고 죽임을 당한다. 그리고 그녀는 아레스 제국의 황녀로 환생하게 되는데... 태어나자 마자 39 버림 받은 황녀 39 , 붉은 색 눈을 가진 39 불길한 아이 39 , 저주 받은 쌍둥이에게 영혼을 바쳐야 하는 39 제물 39 ... 34 왜 나는 이렇게 재수가 없는 거야 ? 34 과연 사야는 비운의 황녀로서 새로운 세계에서 잘 살아갈 수 있을까...?",카카오페이지
28,엘리자베스,금,로판만화,"마을에서 가장 아름답기로 소문난 아가씨, 엘리자베스. 금지된 숲에서 나는 딸기를 팔며 하루하루 전전긍긍하며 살아가지만, 긍지만은 잃지 않던 그녀의 앞에 결혼이 급한 공작님이 나타나는데? 난 이곳에서 칼루크 공작이라고 불립니다. 이름은 마티어스. 성은 없습니다. 오, 옷은 왜 벗고 계신 건가요? 대단한 사람인 건 분명한데 어딘가 이상한 공작님. 게다가 처음 마주친 날, 데이트 신청은 거절해놓고 반대로 그녀에게 시녀로 일해줄 수 없겠냐는 제안을 하고! 내 숙부의 저택에 시녀가 필요합니다. 엘리자베스. 나이 많은 영주님의 저택. 저 저택에 시녀가 모실 만한 귀부인은 없었다. 그러니 자신을 그 저택의 시녀로 두려는 목적은 하나밖에 없을 것이다! 밤 시중! 절대로 싫어요! 절대로! 순진한 직진남, 공작님과 속사정 복잡한 변두리 아가씨의 오해 가득한 알콩달콩 로맨스 판타지!",카카오페이지
29,생사결: 여래의 복수,금,액션무협만화,"글 윤선영 각색 스튜디오 만화 4스튜디오 시즌 2 소림사 당대 전승자, 성창. 장경각의 모든 비급을 외울 정도로 천재적 두뇌를 가졌지만 유약한 신체 탓에 비급을 사용할 순 없다. 소림사 비전을 후대에 전승하기 위한 업을 이루기 위해, 천마신교의 습격을 당한 소림사를 애써 등지고 탈출하려 하지만 결국 위기에 처하고 마는데 . 그 때 들린 미지의 목소리. 죽은줄로만 알았던 그는 삼백년 전, 역천대법의 제물로 사용되 지하에 잠들어 있던 소년 양련진가의 몸에서 다시금 눈을 뜨게 된다! 정의롭지만 고리타분한 학승 성창, 끝없는 탐욕에 물든 타락한 요승 양련진가 불가사의한 존재에 의해 결속된 두 사람의 불편한 동거 관계가 시작된다. 시즌 1 무공과 일절 관계없을 것 같이 생긴 유약한 서생 소화산. 빼어난 인품에 장원에 두 번이나 급제했던 수재이며, 지방 왕 및 관리들과의 돈독한 인맥으로 존경받는 서생이다. 그러나 그의 정체는 다름 아닌 화산의 숨겨졌던 비공, 응사생사박의 유일한 계승자. 평소에는 늘 방안에 틀어박혀 서책을 읽거나 몸을 쓴다는 것도 기껏 마당을 청소하거나 가벼운 체조만 할 뿐이다. 두 번 다시 무공을 펼칠 일이 없어 보였던 그가 다시금 강호로 나선 건 어느 날 밤. 화산 본파가 있는 산등성이가 불타고, 문파는 괴멸되었으며, 어린 제자들만이 몸을 의탁하러 온다. 그리고 어린 제자들마저 몰살하기 위해 나타난 가공의 무림고수들. 이에 소화산은 무공을 발휘해 그들을 전멸시키고 화산의 제자들을 지켜낸다. 누가 이런 일을 계획했는지, 목적이 무엇인지 알아내기 위해 분연히 정체를 드러내고 강호로 뛰어든 소화산. 대를 이어 계승된 비인부전의 절기가 깨어나고, 수많은 무림고수들과 막강한 세력을 자랑하던 적들이 그의 앞에서 모조리 찢겨지고 쓰러지면서 강호 전체가 요동치게 되는데.....",카카오페이지
30,집 밖은 위험해,금,소년만화,"어느 날 우리 집이 던전과 연결되었다. 집 밖은 몬스터들 때문에 위험하지만, 살아남기 위해선 정해진 시간 안에 던전을 공략해야만 한다! 34 죽고 싶지 않아. 반드시 살아남을 거다. 34 다른 탐색자들은 모두 죽고 혼자서 던전을 공략해야하는 주인공 김현복. 사역의 재능을 이용해 던전의 몬스터들을 길들이기 시작하는데 생전의 기억을 되찾은 스켈레톤 크리스, 카이, 캐슬과 함께 목숨을 건 던전 공략을 시작한다!",카카오페이지
31,나의 나쁜 연하남,금,로맨스만화,"나의 나쁜 연하남 은 매주 금요일 00 00시 연재됩니다. 서른둘 나이에 경험 제로, 박솔. 스킨십도 안 하는 뻣뻣한 여자라고 차이기를 여러 번. 급기야 첫사랑을 뺏어간 동창과 전남친의 웨딩 커플 파티에 초대되고 만다. 욱하는 마음에 박솔은 쌔끈빠끈한 남자친구를 데려가겠다고 큰소리치긴 했는데, 아니, 근데, 그런 매끈한 놈을 대체 어디서 구한담?! 그러던 그녀에게 오마이갓뜨! 이게 웬걸? 때마침 기적처럼 나타나 눈물나게 고마운 구세주는, 어린시절 마구마구 귀여워했던 말랑카우 같은 내 동생 절친, 한주혁! 잘됐다! 너, 하루만 내 남친 알바해라. 하지만 이 녀석, 어느새 남자가 되어 솔이를 시시때때로 당황시킨다. 34 누나, 저 이제 어리지 않아요. 각오해요, 지금부터 시작이니까. 34 트라우마를 되갚아주려는 응큼 연하남과 대책 없이 휘둘리는 귀여운 연상녀의 몸부터 시작해버린 코믹 러브 로맨스!",카카오페이지
32,매달려도 소용없어,금,로판만화,"사랑하는 남자, 라칸을 위해 내 모든 것을 바쳐 그를 황제로 만들었다. 그리고 드디어 오늘, 나는 그의 곁에서 황후가 될 것을 기대했건만, 황후의 관은 내가 아닌 나의 사촌 여동생, 비에나의 것이 되었다. 34 목숨까지 바쳐가며 희생한 내게 남은 것은 독에 중독되어 죽어가는 몸 뿐이라니. 34 34 대체 어디서부터 잘못된 걸까 34 버려지고 나서야 이용당했다는 것을 깨달았다. 그렇게 죽는 순간 다짐했다. 만약 또 한 번의 기회가 있다면 죽어도 라칸, 너만은 사랑하지 않을 것이라고. 그렇게 열여덟 살. 모든 것이 시작되었던 그날로 돌아왔다. 34 내 모든 것을 앗아간 라칸, 이번엔 널 처참히 망가뜨려 줄게. 34 라칸이 아닌, 과거 황제가 억지로 묶어 놓았던 나의 약혼자 페일론. 그를 반드시 황제로 만들 것이다. 34 페일론, 사랑 따위 필요 없어요. 계약 하나 하죠. 34 제 편이 되어 주세요. 그렇게 해주신다면 34 34 반드시 내가 당신을 황제로 만들 것입니다. 34 34 비에나, 라칸. 둘 다 나락으로 떨어뜨려 줄게. 34 이젠 매달려도 소용없어.",카카오페이지
33,마황의 귀환,"월, 수, 금",액션무협만화,"팔황 중 제1인으로 성계를 주름잡던 마황 사마영은 믿어왔던 제자의 배신과 나머지 7황의 계략으로 나락으로 떨어지고 만다. 눈을 뜬 사마영은 자신과 같은 이름인 귀운산장 하인 황영의 몸에 들어왔다는 사실을 깨닫고 이 몸으로 다시 수련하여 칠황과 배신한 제자에 대한 복수를 다짐한다. 하지만 그런 그의 발목을 잡은 건 다름아닌 황영의 심마, 귀운산장 아가씨 단운혜였다. 심마를 다스리기 위해 어쩔 수 없이 단운혜 곁에 머문 사마영, 단운혜를 도와 귀운산장을 재건하여 심마를 정리하면 바로 떠날 작정이었지만 일개 하인인 자신을 아끼고 믿는 단운혜 남매에게 자기도 모르게 점차 마음을 열게 되는데",카카오페이지
34,미필적 고의에 의한 관계,금,로맨스만화,"벽치기 다음에는 응당 키스여야 하지 않는가. 한데 앞의 남자는 키스 대신, 그보다 더 농염한 눈빛으로 은결을 보았고 둘의 시선이 끈적하게 얽혔다. 먼저 꼬셔놓고. 변성기가 엊그제였던 것 같은데, 완벽한 남성의 목소리였다. 처절하게 버렸지. 게다가 고압적이다. 이런 걸 먹튀라고 하나? 전 남자친구를 되찾기 위해 1년 전으로 돌아왔는데, 친구 동생 놈과 엮였다. 고의인듯 고의 아닌, 미필적 고의에 의한 그들의 관계.",카카오페이지
