id,title,author,genre,story,score,platform
505,연의 편지,조현아,"스토리, 드라마",짧았던 여름방학이 끝나고 만난 마법같은 시간.. 그때 우리는 친구였을까?정말 궁금해. 이렇게 다정한 네가 누군지.. 여름 특선 10부작.,9.98,네이버 웹툰
506,마이너스의 손,김뎐,"스토리, 판타지",만지면 모두 부서진다.마이너스의 오른손을 가진 소년 이야기,9.96,네이버 웹툰
507,만 화 고,김8,"에피소드, 개그",다양한 그림체의 캐릭터들이 다니는 만화고.존재감 제로인 내가 만화주인공이 될 수 있을까?안경뽀짝 안경희와 친구들의 성장기!,7.22,네이버 웹툰
508,간질간질,손하은,"스토리, 로맨스",버스에서 시작된 간질간질 첫사랑2017 청춘로맨스 대전 우수상 수상작,9.22,네이버 웹툰
509,1인용 기분,윤파랑,"에피소드, 감성",혼자서만 느낄 수 있는같은 듯 다른 기분들,9.97,네이버 웹툰
510,피에는 피,연제원,"스토리, 스릴러","버려진 남파간첩,통일 한국에서 벌어지는 그의 처절한 복수극",9.97,네이버 웹툰
511,에피소드칵테일,정마루,"스토리, 로맨스",다양함이 모여 탄생하는 칵테일 처럼 개성 강한 남녀가 모여 만들어 가는 청춘 스토리. 에피소드메이비 정마루 작가 신작!,9.81,네이버 웹툰
512,서북의 저승사자,양세준,"스토리, 판타지",넌 내가 데려간다 저승사자와의 달콤 살벌한 고교 생활!,9.98,네이버 웹툰
513,진눈깨비 소년,쥬드프라이데이,"스토리, 감성",아무 일도 일어나지 않길 바랬던 고3 송해나는 우연히 정우진을 만난다그리고 우연은 눈처럼 조용히 쌓인다,9.97,네이버 웹툰
514,야채호빵의 봄방학,박수봉,"스토리, 드라마",오늘은 뭐 해 먹지?먹는 고민뿐이던 야채에게 찾아온 봄방학 같은 설렘,9.98,네이버 웹툰
515,죽음에 관하여,시니 / 혀노,"옴니버스, 드라마","삶과 죽음의 경계선, 그 곳엔 누가 있을까? 가는 길에 심심한데 네 이야기나 한번 듣지",9.97,네이버 웹툰
516,모태솔로수용소 시즌2~3,석재윤,"스토리, 드라마","연애를 하지 못하면 범죄자가 되는 세상,모태솔로들의 탈옥이 시작된다!",9.93,네이버 웹툰
