,title,day,genre,story,platform,Thumbnail
52,사랑하는 가족에게,완결,,"우리집에는 악마가 산다. 국내외에서 실력을 인정 받은 유화작가 영철 . 성악가 아내와 그림에 천재적인 재능을 가진 아들 환희. 단란해보이는 예술가 가족으로 영철은 더 완벽하게 보이는데... 하지만 영철은 환희를 키우며 은연중에 아들이 자신의 자리를 빼앗으려 한다는 느낌을 받게 된다. 두 사람이 함께 준비하게 된 합동 전시회에 환희가 메인 그림을 맡게 되면서 영철의 불안감은 점점 커져만 가고, 환희의 공격적인 모습을 보며 영철은 자신의 자리를 지키기 위해 아들을 적대하며 의중을 파헤치기로 결심한다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2095/c2/2x/992fb79d-8c02-4441-ad6c-09466794cefd
53,너를 기다리는 날,완결,,"7살 하윤이의 99일 실종. 10년 전의 일을 기억하지 못한 채 하윤이는 그렇게 부모의 과보호 아래 제약된 삶을 지내고 있다. 극도의 피로감을 느끼는 하윤. 10년 전 일인데, 왜 이렇게까지 하시는 거야?! 답답함을 못 이긴 하윤은 실종 당시 발견되었던 장소로 향한다. 정체 모를 괴물의 습격과 자신을 구해준 의문의 푸른 머리 소년. 놀란 것도 잠시, 소년은 하윤을 보고 울음을 터뜨리는데 잃어버린 99일의 기억과 푸른 소년의 정체까지 혼란스러운 하윤이 찾아야 할 기억의 진실은 무엇일까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1839/c2/2x/8f1c96a6-9eec-4a7e-bd54-ed7fc6c5fd07
54,감방에서 남자주인공을 만났습니다,완결,,눈 떠보니 책 속의 감방이다?! 그런데 감옥에 갇힌 남자주인공이 내게 관심을 보인다. 멍멍이처럼 짖으면서. 왜죠?!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2136/c2/2x/07d8346c-47e3-4285-9b9e-05820c9f80fb
55,단짠남녀,완결,,잘 먹던 여자 단아영. 못 먹는 남자 안찬희. 모두 각자의 애인으로부터 아픔을 간직하고 있는 이들. 옆집 이웃이었지만 서로의 존재도 모를 정도로 관심 없던 사이. 둘은 어쩐지 끼니 때만 되면 마주치는 일도 잦아진다. 그리고 둘 사이의 감정도 점점 깊어져만 가는데... 이 두 사람에게도 상처를 치유하고 맘 편히 식사를 즐길 수 있는 날이 찾아올까?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1513/c2/2x/54c1c6f7-0687-4419-b2e7-f829ad16884c
56,해오와 사라,완결,,"해방 후, 섬 안의 섬 제주 우도에 사는 15세 해녀 해오 가 인어 사라 를 만나 펼쳐지는 이야기. 어린 시절 갑자기 떠나간 엄마에 대한 상처와 원치 않을 혼약으로 답답한 나날을 보내던 해오 . 어느 날 밤, 해변에 쓰러져있는 인어 사라 를 구해준다. 이를 계기로 서로의 상처를 다독이며 친구가 되는 해오와 사라. 한편, 해오는 새로이 섬에 등장한 여희 라는 의사가 연 야학에서 해녀 친구들과 글을 배우기 시작한다. 배움의 기쁨도 잠시, 여희는 섬에 온 또 다른 목적이 있었으니... 인어 때문에 벌어진 끔찍한 과거의 사건으로 마을 사람들과 인어의 갈등이 깊어져만 간다. 해오는 무사히 사라를 지킬 수 있을까? 푸른 바다를 배경으로 아름답고도 서글픈 인간과 인어의 인연이 시작된다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1799/c2/2x/1ed0129c-f6c3-4ecf-b364-be18b819269e
57,승리호,완결,,"황폐화된 지구. 거대 다국적 기업 는 지구와 유사한 환경의 스페이스콜로니를 건설하고 소수의 선택받은 사람들에게만 시민권을 부여한다. 시간이 흐를수록 지구는 몰락해가고 급기야 스페이스콜로니의 거대한 쓰레기장으로 변한다. 자치 경찰 최고의 에이스였지만 민간인 사살을 거부하고 퇴출된 태호 전직 조폭 박씨, 최고의 밀수꾼이자 우주선 튜닝의 달인 장선장, 전투형 안드로이드 업동이 이렇게 4명은 우연한 기회에 만나 우주 청소부로 살아가게 된다. 어느날 비싸보이는 우주선 잔해를 수거한 이들은 의 수장 설리번 박사의 엄청난 음모를 알게되고 계획을 저지하려 움직이게 되는데......",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1944/c2/2x/96774917-ba2d-4389-b8a4-7a38c485da12
58,콜로세움,완결,,압도적이고 거대한 그들의 힘과 부딪히는 특별한 한 명,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1837/c2/2x/f2bc4d1c-f9da-48a0-8f0e-b4117a9fd519
59,음란마귀지만 괜찮아!,완결,,"음란마귀의 저주? 나 이 저주에서 탈출 할래! 야설을 성경처럼 읽고, 야동을 드라마처럼 보는 음란마귀 중의 음란마귀, 이하임. 하지만 한편으론 귀여운 외모 때문에 무성한 소문과 내 취향이 아닌 이상한 남자들이 꼬이는 일로 스트레스 받기도 한다. 그런 하임의 앞에 우연히 버려진 19금 만화책. 그 책은 취향 한번 확실하고 깐깐한 음란마귀가 인정할 만큼의 완벽한 띵작이었다. 그리고 그 책에 남겨진 의문의 작가의 말. 이 책은 당신에게 원한을 품은 자가 보낸 만화책입니다. 그 이후 그녀는 상대 남자와 뽀뽀 이상의 상상을 하게 되면 흩날리는 장미꽃과 함께 더 이상의 진도는 커녕 모든 관계가 붕괴돼버리는 상태가 되어버리고 만다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1955/c2/2x/30dfeb1e-0969-4b2d-9aa4-b33751c59321
60,학교대표,완결,,"네게 컵 고교 동아리 200여 팀과 참가 선수 5,000여명에 달하는 전국 최대 규모의 유소년 축구대회. 나름 축구 천재였지만 공백기를 거치면서 소문난 개 발로 전락한 주인공 나두호는 주암고 축구 동아리 채플린 회원으로서 친구이자 매니저인 정아영과 함께 네게 컵에 출전한다. 목표는 단지 하나!! 대회 우승과 함께 프로 진출의 꿈을 이룰 수 있는 차세대 아이들 최종 11명 에 선정되는 것. 지역 예선을 시작으로 본선 토너먼트를 거치며 나두호의 잠들어 있던 축구 본능이 깨어나기 시작한다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1568/c2/2x/117ec426-92eb-40b3-862c-7d93c3c1b3f4
61,당신도 보정해 드릴까요?,완결,,살 빼서 예전으로 돌아갈 거야! 미인으로서의 삶을 즐겼던 지아는 스트레스를 음식으로 풀어버리는 바람에 단기간에 30킬로가 불어난다. 마음이 남아있는 전 남자친구가 자신을 알아보지 못하자 자괴감에 빠져있던 지아는 사진을 보정하면 사진처럼 변하는 마법의 타블렛 을 갖게 된다. 자신감을 잃었던 지아에게 타블렛은 하늘이 내려준 최고의 선물이자 득템! 하지만 타블렛이 있으면 모든 것이 해결되는 걸까? 있는 그대로의 모습을 받아들이고 자신을 사랑할 수는 없는 걸까? 타블렛은 앞으로 지아에게 어떤 영향을 주게 될까..?!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1739/c2/2x/7203456e-9318-42f5-8c59-fef33da1c3c5
62,나비는 세 번 변태한다,완결,,"자신을 따돌리는 회사 동료 아라의 생일 파티에서 그녀의 남자친구 제이와 키스를 하게 된 나예 ! 죽은 언니과 자신을 비교하는 엄마, 그리고 자신을 호구 취급하는 주위 사람들 틈에서 억눌려 있던 나예에게 제이와 키스한 날 밤 이후로 나쁜 목소리가 들려온다. 제이의 밴드 멤버인 언니들, 그리고 제이와 어울리며 차츰 변해하는 나예. 과연 그녀는 그동안의 답답한 나날에서 벗어나 새로운 삶을 살 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1994/c2/2x/f64eadec-e69d-47a5-9335-e6bf49a8cf49
