title,writer,illustrator,genre,story,platform,thumb,url
블러디발렌타인:인류종말,Twenty4,Blue Moon,소년만화,"서기 2028년 산 자가 죽은 자를 부러워하는 세상. 
세상은 멸망했고, 인류의 종말이 눈 앞이다. 
마지막까지 살아남은 인류 최후의 1인 준석은 감염자들과 
싸우다 장렬히 산화한다. 

시끄러운 소리에 눈을 떠보니 인류종말로부터 정확히 
10년 전, 2018년 2월 14일 인류의 종말이 시작된 바로 그 날이다. 
왜 다시 돌아왔을까? 생각할 시간도 없다. 인류종말은 
또다시 시작되니까. 

그리고 이번에는 살리지 못했던 사람들을 살려내야 한다. 
내가 지켜야 한다. 자신 있다. 난 모든 이들보다 10년 앞서 있으니까.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bMzHYe/hyCvfdqfJE/MtHbBI78L3chtGzYtlkk6K&filename=th2,https://page.kakao.com/home?seriesId=51583275
스머프 월드,제이제이,오태,"BL, GL","제호그룹의 유력 후계자인 제규호는 사실 돈과 재미에만 관심이 있을 뿐.
회사를 물려받을 위기에서 벗어나기 위해 제규호는 탈(脫)제호 플랜을 세우고,
실행 자금을 마련하기 위해 돈세탁업자 남강하를 납치해 오는데...!

시즌 2에서는 새로운 커플이 등장!
비자금을 챙기기 위해 돈세탁업자를 찾아나선 재벌 3세 최승언,
위장취업한 회사의 팀장 모건형과 계획에 없던 로맨틱 무드에 휩싸여버린다..?!

그리고 마침내 규호X강하, 건형X승언 커플이 만나다!
각자의 목표를 이루기 위해 맞붙는 두 커플의 예상치 못한 앞날은?
<스머프 월드> 시즌 3에서 계속 됩니다♥

&#35;현대물 &#35;리맨물 &#35;재벌공 &#35;능력수 &#35;동거 &#35;할리킹 &#35;역할리킹 &#35;재벌수 &#35;너드공


(해당 작품은 15세이용가로 개정된 '일반판' 작품입니다.)",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bjOXJp/hzacfSJQGw/FxaqSur99NkUl6fqjxkMk0&filename=th2,https://page.kakao.com/home?seriesId=53856587
전직 법사,난(亂),산균자,소년만화,"평범하기 짝이 없던 김범. 어느 날 눈을 떠보니 세상은 마법으로 가득 차 있다. 그럼에도 변하지 않는 건, 사람들의 무시와 가난에 허덕이는 자신... 이곳에선 수련을 통해 마법사가 되어야 한다는데... 
김범은 과연 자신이 꿈꾸던 최고의 마법사로 거듭날 수 있을까?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=PxIjp/hyATwomnsb/IjbaR6DowgQnvogyQ7ZqRk&filename=th2,https://page.kakao.com/home?seriesId=52199324
흡혈고딩 피만두 시즌2~시즌3,탐이부,탐이부,드라마만화,"100년 동안 다니던 정든 생활고를 떠나 마야고로 전학간 피만두!
좀 더 효율적으로 피주머니들(?)에게 접근하기 위해 피부색과 머리색을 바꾸고 나타났다!
만두의 정체를 모르는 마야고 일진들은 괜히 시비를 걸었다 번번히 당하기만 하고,
급기야 일진 보스가 피만두를 잡겠다며 계획을 세우지만 결과는 과연....",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bmNfEZ/hyATqVEPsB/dskpkaBlcHn0AUeLm6WJmK&filename=th2,https://page.kakao.com/home?seriesId=49450403
마탄의 사수,"샤이멜,이수백",글피,소년만화,"""하 중사, 이 미친놈아. 또 만발인 거 알아?""

이제 말뚝 박을 일만 남은 명사수 부사관 하이하.
그러나 불의의 사고로 하반신을 못 쓰게 되어 사회로 내쳐졌다.
절망에 빠져있던 그에게 혁명적인 VR 게임 [미들 어스]가 새로운 삶을 선사한다.
가상현실 게임인 [미들 어스]에서 획득한 돈은 현실의 돈이 된다!

하지만 캐릭터 생성 때 가장 성능이 낮은 캐릭터를 고르게 되는 바람에 망하게 생겼다!

""난 다르다. 이것이 내 마지막이야!""

흑색화약, 쇠구슬, 꼬질대. 진짜 '머스킷티어'가 무엇인지 보여주마!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=qBNZ4/hy41Jrge8r/Iie5AtDVwhGs7XL4bc6vwK&filename=th2,https://page.kakao.com/home?seriesId=56520811
크로스 더 라인,허윤미,허윤미,로맨스,"16세, 방화 존속 살인으로 12년형을 받은 은하연. 
그녀는 12년만에 출소하자마자 의붓 아비의 사채 빚으로 조직의 상무, 지태만에게 끌려간다. 
하지만 상품 가치가 떨어진다는 이유로 지태만은 은하연을 집으로 데려가고, 두 사람의 동거가 시작된다. 
자신을 돌보지 못했던 두 사람이 서로를 돌봐가며 작은 빛을 찾아가는 이야기.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bJ2E8H/hyCveMjhkP/DQ0WqtKHJQWVNFvthuI6Ak&filename=th2,https://page.kakao.com/home?seriesId=52542743
신마경천기,일황,곰국,"액션, 무협","‘평생 협의를 외치셨던 분이 이리 가셨습니까…!'

금지된 마공을 익혔다는 누명을 쓰고 죽임 당한
창존문의 계승자와 제자 혁운성.

정파의 위선자들에 의한 비참하고 억울한 죽음…  

운성이 죽음을 맞이하는 순간, 
창존문의 신물이 빛을 발하며 새로운 인생이 주어진다. 

바로, 마교 수련생 구백 호로서의 인생이! 

정파와 마교, 두 개의 정체성.
그러나 목표는 하나, 복수뿐! 

운명을 받아들이고 원한을 되씹으며 운성은 무공을 쌓고
그렇게 복수의 시간도 차츰 다가오는데….


마교를 장악하고 정파의 위선자들을 처단하라!
생사를 건 난관 속에 성장하는 구백 호 운성의 복수 활극! 

일황 작가의 인기 무협 소설 <신마경천기>의 웹툰화.

************************************************

[표지 및 로고 디자인] 이승욱

************************************************

웹툰 [신마경천기]는 매주 목요일, 주1회 연재됩니다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=blfpLt/hyATssyZiZ/ONLsIyvQWHJxpRk7kfv6Lk&filename=th2,https://page.kakao.com/home?seriesId=51526841
프로레슬링의 신,"COBY,뇌조",홍상기,소년만화,"※본 작품은 픽션입니다. 실존하는 인물, 단체, 지명, 사건 등과는 아무런 관계가 없습니다.

누구보다 프로레슬링을 사랑하지만, 인종의 한계를 넘지 못한 준호킴.
성과 없는 은퇴 후 공사장 잡부로 일하던 와중 불의의 사고에 휘말리고…
눈을 떠보니 WWF 입사 시험 전날로 돌아왔다?!

“이번엔 내 커리어를 승률 0.7%의 악역 쿵-퓨리로 끝내지 않겠어!”

죽도록 구르며 배운 기술들과 미래에 대한 정보를 가진 채
20대의 몸으로 회귀했다.
커리어 내내 패배 전문 악역 자버(Jobber)로 구르던 역사를 반복하지 않겠다.
앞으로 한 시대를 풍미할 레슬러들과 함께 프로레슬링계의 역사를 다시 쓴다.

시대의 ‘아이콘’이라 불리는 프로레슬링의 신이 되기 위해!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=h7Dvq/hyQ9Tm0qyU/yIKPtoLRQ2KM5wmKfKqWWk&filename=th2,https://page.kakao.com/home?seriesId=56311337
조국이 당신을 원한다,숭어,스박,드라마만화,"""집 떠나 열차 타고 훈련소로 가는 길...
내겐 없을 줄 알았다.""

올해는 헤어지길 기도하고 기도했지만
금술 좋은 견우직녀 헤어질 기미가 안 보인다.

결국 코 앞까지 다가온 오작교 대대 입대 날.

조까치 앞에 펼쳐진 조까튼 현실,
더 이상 견우직녀 발닦개로 살 수 없어!

사나이 가슴에 손을 얹고 맹세한다!
내 기필코 오작교를 없애고야 말테다!

견우와 직녀의 연애질을 위한 까치와 까마귀들의 지옥훈련
<조국이 당신을 원한다>",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=b0WkBE/hyQ9U8iXUj/1JeONdEbE2qPqMtNxeTepk&filename=th2,https://page.kakao.com/home?seriesId=54968351
그냥 악역으로 살겠습니다,"대전환,김다함",베베,"로맨스, 판타지","책 속 악역, 공작 영애에 빙의했다!
감히 여주인공을 죽이려한 살인미수범이 이 몸의 주인이라고?

기왕 이렇게 된 거 조용한 곳에서 놀고먹으며 막 살자! 고 생각한 것도 잠시.
벌로 쫓겨난 북방의 이곳은 너무너무너무 추웠다.
얼어 죽기 전에 불꽃의 대악마를 불러내 벽난로에 불을 지폈는데…

…쟤 왜 안 돌아가? 할 일 다 했으면 가야 하는 거 아냐?!
불 피우려다 악마와 종신계약 한 것도 당황스러운데 욕구 해소(?)까지 책임지라니!

대형 멍멍이 악마님과 부스러기 악역 영애님의
티격태격 로맨스 <그냥 악역으로 살겠습니다> ",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=ctHwaj/hyZ8xvtDvt/Ss8apOdH5JUqoaLIh2JBQ0&filename=th2,https://page.kakao.com/home?seriesId=56582625
수련만 삼천년,소청,렌양,"액션, 무협","<카카오페이지 동명의 웹소설, [수련만 삼천년]의 노블코믹스!>

-----------------------------------------------------------------

청명검종의 조사숙이자 청명검조라 불리우는
제 1대 직계제자, 백추연

어릴 적, 청명검종 창시자, 청명도인의 제자로 거두어져 천재적인 자질로 빠른 성장을 해
많은 기대를 받던 유망주였으나 연기의 다음 경계인 축기에 들지 못한다.
이 후, 스승은 천겁을 이겨내고 선계로 올라가 선인이 되고 백추연은 축기에 들기 위해
수명을 늘리고 단약을 먹으며 오랫동안 수련의 길에 들어선다.

그렇게 무려 삼천년이라는 시간 동안 수련을 한 결과,
여전히 축기에 돌파하지 못했지만 연기기 66664장이라는 전례없는 단계를 이룩하게 된다.

선인 이상의 강함을 가진 백추연.
삼천년을 수련한 그에겐 더 이상의 강함과 명성은 필요 없었다.

오직 그가 바라는 것은 단 하나,
축기를 돌파하는 것!

그의 축기에 대한 도전은 삼천년이 지난 지금도 계속 이어진다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=G9IFa/hyF23U05b6/T8YECNeknQLlDhZiTYWgjK&filename=th2,https://page.kakao.com/home?seriesId=55624526
일상생활 가능하세요?,"시녹,정경윤",팀오리온,로맨스,"유일 호텔의 대표이사 이호진. 외모, 집안, 능력 
모두 뛰어난데다가 겸손하고 예의까지 바르다!

그런 그의 천적은 동갑내기 사촌 이영준.
다른 이에게 향할 관심과 스포트라이트까지 
죄다 가져가 버리는 얄미움의 최종 보스 그를 '멕이기' 위해.
호진은 영준이 가지지 못한 미술 작품을 손에 넣으려 한다.

그러려면 그림 주인의 막내딸 한서정의 남편 자리를 
꿰차야 하는데.......


<김비서가 왜 그럴까>의 동갑내기 사촌 이야기 정경윤 소설, 웹툰으로 찾아왔다.

 -------------------------------------------------------
 웹툰 <일상생활 가능하세요?>는 매주 (목)요일 연재됩니다.
 -------------------------------------------------------",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bpRgci/hySXGGplRY/p97gqWpRXQInhSjmBhHFzK&filename=th2,https://page.kakao.com/home?seriesId=56525377
